team1,team2,score1,score2,date
Midway,Indiana St.,51,107,2021-12-29
Delaware,UNCW,68,70,2021-12-29
Missouri,Kentucky,56,83,2021-12-29
Eastern Ill.,Morehead St.,50,63,2021-12-29
Northeastern,Elon,62,79,2021-12-29
Hofstra,William & Mary,62,63,2021-12-29
VMI,Wofford,80,73,2021-12-29
LIU,Sacred Heart,65,69,2021-12-29
Gardner-Webb,Georgia,77,60,2021-12-29
LSU,Auburn,55,70,2021-12-29
St. Francis Brooklyn,Merrimack,64,74,2021-12-29
Samford,Furman,49,81,2021-12-29
Wagner,Saint Francis (PA),72,64,2021-12-29
Bryant,Central Conn. St.,80,76,2021-12-29
Western Mich.,Toledo,56,83,2021-12-29
Eastern,Lehigh,63,70,2021-12-29
SMU,Tulsa,74,69,2021-12-29
Illinois St.,Wisconsin,85,89,2021-12-29
Central Ark.,Texas A&M,59,85,2021-12-29
North Central (MN),St. Thomas (MN),45,97,2021-12-29
Memphis,Tulane,84,85,2021-12-29
Nevada,Kansas,61,88,2021-12-29
Wake Forest,Louisville,69,73,2021-12-29
Western Ill.,Iowa,71,92,2021-12-29
NC State,Miami (FL),83,91,2021-12-29
Tennessee,Alabama,68,73,2021-12-29
Westminster (UT),BYU,53,65,2021-12-29
Ecclesia,McNeese,66,115,2021-12-30
Evangel,Missouri St.,56,103,2021-12-30
Maine,Rutgers,64,80,2021-12-30
Point U.,Stetson,65,77,2021-12-30
Louisiana,App State,71,55,2021-12-30
Truett-McConnell,Presbyterian,49,91,2021-12-30
Old Dominion,FIU,82,77,2021-12-30
Michigan,UCF,71,85,2021-12-30
Brown,Maryland,67,81,2021-12-30
Purdue Fort Wayne,Cleveland St.,81,90,2021-12-30
ETSU,Chattanooga,52,82,2021-12-30
Robert Morris,Oakland,61,79,2021-12-30
Toccoa Falls,Kennesaw St.,51,108,2021-12-30
Fordham,La Salle,69,61,2021-12-30
Saint Josephs,Richmond,83,56,2021-12-30
Milwaukee,Wright St.,75,80,2021-12-30
ULM,Coastal Carolina,64,94,2021-12-30
Green Bay,Northern Ky.,74,79,2021-12-30
Ga. Southern,Little Rock,66,78,2021-12-30
UTEP,UAB,62,75,2021-12-30
Lamar University,Sam Houston,64,75,2021-12-30
Abilene Christian,Utah Valley,80,76,2021-12-30
Denver,Oral Roberts,66,83,2021-12-30
South Alabama,UT Arlington,87,89,2021-12-30
South Dakota St.,North Dakota St.,90,86,2021-12-30
Southeast Mo. St.,Murray St.,81,106,2021-12-30
Alabama A&M,Lipscomb,63,66,2021-12-30
Troy,Texas St.,78,63,2021-12-30
Chicago St.,Grand Canyon,63,80,2021-12-30
UT Martin,Austin Peay,65,62,2021-12-30
Idaho St.,Montana,54,78,2021-12-30
Marshall,Louisiana Tech,56,79,2021-12-30
Utah,Oregon St.,76,88,2021-12-30
Tarleton St.,Dixie St.,83,69,2021-12-30
Weber St.,Montana St.,85,75,2021-12-30
